高槻市駅 時刻表（阪急京都本線 大阪梅田・天下茶屋方面）平日,,,,,
時,発車時刻,種別,行き先,,
14時,14:21,特急,大阪梅田,,
14時,14:22,準急,大阪梅田,,
14時,14:26,普通,大阪梅田（当駅始発）,,
14時,14:31,特急,大阪梅田,,
14時,14:32,準急,大阪梅田,,
14時,14:36,普通,天下茶屋（当駅始発）,,
14時,14:41,特急,大阪梅田,,
14時,14:42,準急,大阪梅田,,
14時,14:46,普通,大阪梅田（当駅始発）,,
14時,14:51,特急,大阪梅田,,
14時,14:52,準急,大阪梅田,,
14時,14:56,普通,天下茶屋（当駅始発）,,
15時,15:01,特急,大阪梅田,,
15時,15:02,準急,大阪梅田,,
15時,15:06,普通,大阪梅田（当駅始発）,,
15時,15:11,特急,大阪梅田,,
15時,15:12,準急,大阪梅田,,
15時,15:16,普通,天下茶屋（当駅始発）,,
15時,15:21,特急,大阪梅田,,
15時,15:22,準急,大阪梅田,,
15時,15:26,普通,大阪梅田（当駅始発）,,
15時,15:31,特急,大阪梅田,,
15時,15:32,準急,大阪梅田,,
15時,15:35,普通,天下茶屋（当駅始発）,,
15時,15:40,特急,大阪梅田,,
15時,15:41,準急,大阪梅田,,
15時,15:45,普通,大阪梅田（当駅始発）,,
15時,15:50,特急,大阪梅田,,
15時,15:51,準急,大阪梅田,,
15時,15:55,普通,天下茶屋（当駅始発）,,
16時,16:00,特急,大阪梅田,,
16時,16:01,準急,大阪梅田,,
16時,16:05,普通,大阪梅田（当駅始発）,,
16時,16:10,特急,大阪梅田,,
16時,16:11,準急,大阪梅田,,
16時,16:15,普通,天下茶屋（当駅始発）,,
16時,16:20,特急,大阪梅田,,
16時,16:21,準急,大阪梅田,,
16時,16:25,普通,大阪梅田（当駅始発）,,
16時,16:30,特急,大阪梅田,,
16時,16:31,準急,大阪梅田,,
16時,16:35,普通,天下茶屋（当駅始発）,,
16時,16:40,特急,大阪梅田,,
16時,16:41,準急,大阪梅田,,
16時,16:45,普通,大阪梅田（当駅始発）,,
16時,16:50,特急,大阪梅田,,
16時,16:51,準急,大阪梅田,,
16時,16:55,普通,天下茶屋（当駅始発）,,
16時,16:59,特急,大阪梅田,,
17時,17:00,準急,大阪梅田,,
17時,17:03,普通,天下茶屋（当駅始発）,,
17時,17:07,準特急,大阪梅田,,
17時,17:08,普通,大阪梅田,,
17時,17:13,準急,大阪梅田,,
17時,17:16,準特急,大阪梅田,,
17時,17:19,普通,大阪梅田（当駅始発）,,
17時,17:22,普通,天下茶屋,,
17時,17:27,準特急,大阪梅田,,
17時,17:28,普通,大阪梅田（当駅始発）,,
17時,17:32,準急,大阪梅田,,
17時,17:37,準特急,大阪梅田,,
17時,17:38,普通,大阪梅田（当駅始発）,,
17時,17:43,普通,天下茶屋,,
17時,17:47,準特急,大阪梅田,,
17時,17:48,普通,大阪梅田（当駅始発）,,
17時,17:51,準急,大阪梅田,,
17時,17:58,準特急,大阪梅田,,
17時,17:59,普通,大阪梅田,,
18時,18:03,普通,天下茶屋（当駅始発）,,
18時,18:08,準特急,大阪梅田,,
18時,18:09,普通,大阪梅田,,
18時,18:13,準急,大阪梅田,,
18時,18:17,準特急,大阪梅田,,
18時,18:19,普通,大阪梅田（当駅始発）,,
18時,18:24,普通,天下茶屋（当駅始発）,,
18時,18:27,準特急,大阪梅田,,
18時,18:29,普通,大阪梅田,,
18時,18:33,準急,大阪梅田,,
18時,18:37,準特急,大阪梅田,,
