高槻駅 時刻表（JR京都線 姫路・西明石方面）平日,,,
時,発車時刻,種別,行き先
16時,16:38,普通,西明石
16時,16:42,新快速,姫路
16時,16:45,快速,姫路
16時,16:47,普通,新三田（当駅始発）
16時,16:53,普通,西明石
16時,16:57,新快速,播州赤穂
17時,17:00,快速,網干
17時,17:02,普通,新三田（当駅始発）
17時,17:08,普通,西明石
17時,17:12,新快速,姫路
17時,17:15,快速,網干
17時,17:17,普通,新三田（当駅始発）
17時,17:23,普通,西明石
17時,17:27,新快速,播州赤穂
17時,17:30,快速,網干
17時,17:32,普通,新三田（当駅始発）
17時,17:38,普通,西明石
17時,17:42,新快速,姫路
17時,17:45,快速,姫路
17時,17:47,普通,新三田（当駅始発）
17時,17:53,普通,西明石
17時,17:57,新快速,播州赤穂
18時,18:00,快速,網干
18時,18:02,普通,新三田（当駅始発）
18時,18:08,普通,西明石
18時,18:12,新快速,姫路
18時,18:15,快速,姫路
18時,18:17,普通,新三田（当駅始発）
18時,18:23,普通,西明石
18時,18:27,新快速,播州赤穂
18時,18:30,快速,網干
18時,18:32,普通,新三田（当駅始発）
18時,18:38,普通,西明石
18時,18:42,新快速,姫路
18時,18:45,快速,網干
18時,18:47,普通,新三田（当駅始発）
18時,18:53,普通,西明石
18時,18:57,新快速,姫路
19時,19:00,快速,網干
19時,19:02,普通,新三田（当駅始発）
19時,19:08,普通,西明石
19時,19:12,新快速,網干
19時,19:15,快速,網干
19時,19:17,普通,新三田（当駅始発）
19時,19:23,普通,西明石
19時,19:27,新快速,播州赤穂
19時,19:30,快速,網干
19時,19:32,普通,新三田（当駅始発）
19時,19:38,普通,西明石
19時,19:42,新快速,姫路
19時,19:45,快速,網干
19時,19:47,普通,新三田（当駅始発）
19時,19:53,普通,西明石
19時,19:57,新快速,姫路
20時,20:00,快速,姫路
20時,20:02,普通,新三田（当駅始発）
20時,20:08,普通,西明石
20時,20:12,新快速,姫路
20時,20:15,快速,網干
20時,20:17,普通,新三田（当駅始発）
20時,20:23,普通,西明石
20時,20:24,特急,大阪
20時,20:27,新快速,姫路
20時,20:30,快速,播州赤穂
20時,20:32,普通,新三田（当駅始発）
20時,20:38,普通,西明石
20時,20:42,新快速,上郡
20時,20:45,快速,上郡
20時,20:47,普通,宝塚（当駅始発）
20時,20:53,普通,西明石
20時,20:53,特急,大阪
20時,20:57,新快速,姫路
21時,21:00,快速,網干
21時,21:02,普通,新三田（当駅始発）
21時,21:08,普通,神戸
21時,21:12,新快速,姫路
21時,21:15,快速,姫路
21時,21:17,普通,新三田（当駅始発）
21時,21:19,特急,大阪
21時,21:23,普通,西明石
21時,21:27,新快速,姫路
21時,21:30,快速,加古川
21時,21:32,普通,新三田（当駅始発）
21時,21:39,普通,西明石
21時,21:42,新快速,網干
21時,21:47,快速,姫路
21時,21:49,普通,新三田（当駅始発）
21時,21:59,普通,西明石
22時,22:02,新快速,網干
22時,22:07,快速,上郡
22時,22:09,普通,新三田（当駅始発）
22時,22:16,特急,大阪
22時,22:19,普通,西明石
